0,1,2,3,4,5,6,7
,,ELM,Elmira/Corning Regional,Horseheads,NY,Main Checkpoint,18
,,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,449
,,ERI,Erie International/Tom Ridge Field,Erie,PA,Main Terminal,9
,,EUG,Mahlon Sweet Field,Eugene,OR,EUGZ,343
,,EVV,Evansville Regional,Evansville,IN,Main Checkpoint,61
,,EWN,Coastal Carolina Regional,New Bern,NC,Terminal,42
,,EWR,Newark Liberty International,Newark,NJ,CKPT-A1,"1,220"
,,,,,,CKPT-B1,447
,,,,,,CKPT-B2,47
,,,,,,CKPT-B3,92
,,,,,,CKPT-C1,"1,048"
,,FAR,Hector International,Fargo,ND,Gate,197
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
7/30/2023,04:00,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,444
,,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,Terminal,86
,,FLG,Flagstaff Pulliam,Flagstaff,AZ,FLG01,7
