hourly_temp_2m,hourly_relative_humidity,hourly_precipitation,wind_speed_100,Airline_code
24.8635,59.218987,0.,26.674032,CWA
26.813501,54.460155,0.,25.959969,CWA
28.2635,48.466038,0.,26.959166,CWA
29.2635,40.48929,0.,31.062386,CWA
29.6135,38.540997,0.,34.08042,CWA
29.9135,38.499527,0.,35.812313,CWA
29.7635,37.839523,0.,34.349354,CWA
27.5135,46.294647,0.2,24.269983,CWA
24.767,45.547543,0.,23.893261,IMT
22.617,52.355766,0.,26.576681,IMT
20.917,57.326763,0.,26.368616,IMT
20.267,57.926826,0.,29.568253,IMT
20.467001,56.09288,0.,31.542658,IMT
20.167,56.764957,0.,30.888754,IMT
19.817001,57.816704,0.,31.470673,IMT
19.617,58.732758,0.,33.40249,IMT
19.517,59.491158,0.,35.42846,IMT
19.467001,60.072254,0.,35.75436,IMT
19.267,61.02568,0.,34.838253,IMT
19.267,62.041187,0.,35.127216,IMT
20.417,65.00036,0.,34.477398,IMT
21.167,66.222084,0.1,26.242987,IMT
22.717001,61.028942,0.,26.576681,IMT
24.867,52.766342,0.,30.035742,IMT
26.467001,47.525295,0.,28.19285,IMT
27.267,47.129852,0.,23.40277,IMT
27.967001,45.67801,0.,21.749481,IMT
28.817001,43.615334,0.,24.344624,IMT
29.217001,42.754288,0.,27.666182,IMT
29.567001,43.40194,0.,28.056913,IMT
26.917,55.530437,1.3,24.216522,IMT
24.567001,66.08683,0.2,20.316889,IMT
28.95,81.19843,0.2,17.57744,SRQ
28.5,79.46351,0.6,17.873556,SRQ
27.25,84.207886,0.1,10.315115,SRQ
27.7,82.0187,0.,4.73506,SRQ
27.85,83.52126,0.,4.1046314,SRQ
27.9,86.30866,0.,4.39436,SRQ
28.25,86.59786,0.,7.771331,SRQ
28.9,78.80925,0.,11.525623,SRQ
29.15,74.04465,0.,16.09969,SRQ
28.95,75.81081,0.,18.331741,SRQ
28.75,77.851654,0.,18.345877,SRQ
28.75,77.38695,0.,16.981165,SRQ
29.1,77.20741,0.,15.696165,SRQ
29.2,77.2222,0.,18.,SRQ
29.3,77.006874,0.,20.111729,SRQ
29.5,75.669945,0.,23.419376,SRQ
29.75,74.36531,0.,24.29133,SRQ
29.85,73.71799,0.,24.693481,SRQ
29.95,72.64069,0.,26.474075,SRQ
29.7,71.73166,0.1,28.555965,SRQ
27.9,80.3407,4.3,31.355152,SRQ
27.5,83.9832,0.5,29.07989,SRQ
